entry_time,exit_time,direction,entry,exit,units,pnl,return_pct,exit_reason
2023-11-10 12:00:00+00:00,2023-11-10 13:00:00+00:00,SHORT,1.17301,1.17208,729716,677.32,0.677,TARGET
2023-11-27 17:00:00+00:00,2023-11-28 07:00:00+00:00,LONG,1.17691,1.17794,648784,673.2,0.669,TARGET
2023-12-04 16:00:00+00:00,2023-12-04 18:00:00+00:00,LONG,1.18614,1.1883,508135,1096.66,1.082,TARGET
2023-12-05 15:00:00+00:00,2023-12-05 16:00:00+00:00,LONG,1.18675,1.18819,538667,777.34,0.759,TARGET
2023-12-06 14:00:00+00:00,2023-12-07 05:00:00+00:00,LONG,1.1879,1.1888,623724,562.32,0.545,TARGET
2023-12-14 16:00:00+00:00,2023-12-15 12:00:00+00:00,LONG,1.19704,1.19567,816021,-1119.47,-1.079,STOP
2023-12-20 16:00:00+00:00,2023-12-20 17:00:00+00:00,LONG,1.20701,1.20785,749439,628.96,0.613,TARGET
2023-12-25 10:00:00+00:00,2023-12-25 11:00:00+00:00,LONG,1.21131,1.21202,775377,546.14,0.529,TARGET
2023-12-27 19:00:00+00:00,2023-12-28 05:00:00+00:00,LONG,1.21962,1.22028,831136,552.43,0.532,TARGET
