candidate,fold,train_n,train_wr,train_pf,train_sum_r,test_n,test_wr,test_pf,test_sum_r,params
grid_bb_std=1.4_stop_atr_mult=1.25_min_rr=0.4,7,33,0.48484848484848486,0.6303938397188188,-6.556610000000001,13,0.6923076923076923,1.8240380001698895,3.58932,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.25, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.25_min_rr=0.4,8,26,0.6923076923076923,1.6223588643581457,5.524300000000001,12,0.4166666666666667,0.4031728246280838,-4.442309999999999,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.25, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.25_min_rr=0.6,0,26,0.6153846153846154,1.371396291549145,4.204440000000002,10,0.6,1.4436614672771269,1.91963,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.25, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.25_min_rr=0.6,1,25,0.6,1.3319746678301234,3.6903300000000008,10,0.5,0.6557659240016827,-1.86579,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.25, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.25_min_rr=0.6,2,24,0.5416666666666666,0.9479992228690869,-0.6209600000000008,9,0.5555555555555556,1.0047345900312248,0.020470000000000824,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.25, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.25_min_rr=0.6,3,21,0.5714285714285714,1.061009901929801,0.6042500000000005,12,0.9166666666666666,7.572792635812411,7.468730000000002,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.25, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.25_min_rr=0.6,4,24,0.75,2.2207781754896434,8.038689999999999,14,0.7142857142857143,1.9544587860559581,4.29998,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.25, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.25_min_rr=0.6,5,28,0.7857142857142857,2.6564023862678967,11.678199999999999,17,0.35294117647058826,0.42843921857620537,-6.63909,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.25, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.25_min_rr=0.6,6,36,0.5833333333333334,1.0517581391459472,0.8913000000000002,4,0.75,3.069776079804733,2.34042,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.25, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.25_min_rr=0.6,7,26,0.46153846153846156,0.7135277515703711,-4.26004,11,0.7272727272727273,2.471483621761864,4.81518,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.25, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.25_min_rr=0.6,8,20,0.65,1.6523164539876025,5.026020000000001,10,0.3,0.28752285056204957,-5.277190000000001,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.25, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.5_min_rr=0.4,0,30,0.6333333333333333,1.1443912325451837,1.7469000000000001,12,0.6666666666666666,1.376928472887974,1.6120100000000002,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.5, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.5_min_rr=0.4,1,27,0.6296296296296297,1.1893184664113143,2.0561500000000006,11,0.6363636363636364,0.9332854844124423,-0.2881500000000001,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.5, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.5_min_rr=0.4,2,27,0.6296296296296297,1.041370249550242,0.4433599999999999,11,0.6363636363636364,1.0892449960512105,0.3808200000000008,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.5, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.5_min_rr=0.4,3,24,0.6666666666666666,1.2481390372009749,2.1717600000000004,12,0.9166666666666666,6.40277266152146,6.01334,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.5, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.5_min_rr=0.4,4,27,0.7407407407407407,1.7391138349977906,5.53665,14,0.6428571428571429,1.2104547790897178,1.16283,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.5, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.5_min_rr=0.4,5,28,0.75,1.8406975322656698,6.739250000000002,17,0.35294117647058826,0.36213024279661354,-7.2848999999999995,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.5, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.5_min_rr=0.4,6,36,0.5555555555555556,0.8072202038829045,-3.39128,6,0.8333333333333334,3.313798432894831,2.5749799999999996,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.5, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.5_min_rr=0.4,7,28,0.4642857142857143,0.5700640797045123,-6.64297,11,0.7272727272727273,2.081225256555557,3.48214,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.5, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.5_min_rr=0.4,8,22,0.6818181818181818,1.49780476893659,3.7722599999999997,11,0.36363636363636365,0.2985825418794445,-5.14388,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.5, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.5_min_rr=0.6,0,20,0.6,1.2185143666559153,1.937580000000001,10,0.6,1.2167637584490967,0.92391,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.5, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.5_min_rr=0.6,1,22,0.5909090909090909,1.147731335538426,1.44621,7,0.7142857142857143,1.4315352506555112,0.9397500000000001,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.5, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.5_min_rr=0.6,2,21,0.6190476190476191,1.116249191150957,0.9916799999999998,8,0.75,1.9875359496159306,2.1701299999999994,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.5, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.5_min_rr=0.6,3,17,0.7647058823529411,2.1752603510867554,5.273639999999999,10,0.9,5.484179530489293,4.964480000000001,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.5, ""min_rr"": 0.6}"
